id,price,brand,model,year,title_status,mileage,color,state,country
256,7600,chevrolet,door,2017,clean vehicle,110489,brown,nebraska,usa
257,13270,ford,door,2016,clean vehicle,84035,white,texas,usa
258,12800,ford,door,2012,clean vehicle,131101,gray,arizona,usa
259,33000,chevrolet,1500,2018,clean vehicle,52521,white,ontario,canada
260,9280,ford,door,2016,clean vehicle,101380,white,texas,usa
261,900,ford,van,2003,clean vehicle,142027,white,florida,usa
262,7560,ford,door,2016,clean vehicle,111476,gray,texas,usa
263,19500,ford,drw,2011,clean vehicle,76897,white,pennsylvania,usa
264,17100,chevrolet,malibu,2019,clean vehicle,15780,white,washington,usa
265,8020,ford,door,2016,clean vehicle,31944,white,texas,usa
266,10300,ford,fiesta,2019,clean vehicle,18937,black,missouri,usa
267,22600,chevrolet,van,2019,clean vehicle,9706,white,washington,usa
268,10480,ford,doors,2016,clean vehicle,57289,gray,texas,usa
269,10300,ford,fiesta,2019,clean vehicle,19956,silver,missouri,usa
270,22700,chevrolet,van,2019,clean vehicle,6075,white,washington,usa
271,7410,ford,door,2016,clean vehicle,21034,gray,texas,usa
272,10300,ford,fiesta,2019,clean vehicle,22881,gray,missouri,usa
273,10300,chevrolet,door,2013,clean vehicle,167600,gray,washington,usa
274,7570,ford,door,2016,clean vehicle,37252,white,texas,usa
275,67000,dodge,challenger,2019,clean vehicle,10944,blue,ohio,usa
276,18900,chevrolet,impala,2019,clean vehicle,27601,white,texas,usa
277,12560,ford,doors,2019,clean vehicle,15958,white,florida,usa
278,33000,dodge,durango,2019,clean vehicle,32251,white,ohio,usa
279,18300,chevrolet,impala,2019,clean vehicle,25809,black,texas,usa
280,11760,ford,cab,2017,clean vehicle,30553,white,texas,usa
281,31700,dodge,durango,2019,clean vehicle,26549,red,ohio,usa
282,25,dodge,door,2007,salvage insurance,160528,dark blue,minnesota,usa
283,7340,ford,doors,2019,clean vehicle,15854,gray,florida,usa
284,8200,hyundai,door,2017,clean vehicle,56690,white,connecticut,usa
285,3000,kia,door,2013,clean vehicle,97142,silver,missouri,usa
286,6530,jeep,mpv,2019,clean vehicle,10185,black,georgia,usa
287,12700,kia,soul,2019,clean vehicle,23514,silver,california,usa
288,13800,kia,sorento,2017,clean vehicle,86959,gray,north carolina,usa
289,725,ford,door,2017,salvage insurance,67279,gray,virginia,usa
290,7400,ford,doors,2019,clean vehicle,16482,gray,florida,usa
291,9800,hyundai,elantra,2017,clean vehicle,35687,red,connecticut,usa
292,4400,jeep,mpv,2019,clean vehicle,17911,green,georgia,usa
293,10330,infiniti,mpv,2019,clean vehicle,21278,blue,florida,usa
294,1800,chevrolet,door,2011,salvage insurance,47269,black,arkansas,usa
295,50,chevrolet,door,2008,salvage insurance,172102,blue,texas,usa
296,720,ford,wagon,2006,clean vehicle,26914,no_color,florida,usa
297,22800,ford,door,2017,clean vehicle,67217,red,michigan,usa
298,2500,ford,door,2017,salvage insurance,78698,black,california,usa
299,9190,gmc,mpv,2017,clean vehicle,41961,black,virginia,usa
300,10900,jeep,mpv,2019,clean vehicle,13273,red,michigan,usa
301,10400,infiniti,mpv,2019,clean vehicle,31713,black,florida,usa
302,7320,chevrolet,pickup,2008,clean vehicle,325611,silver,florida,usa
303,22809,ford,f-150,2017,clean vehicle,50732,black,michigan,usa
304,5520,gmc,mpv,2017,clean vehicle,52904,silver,virginia,usa
305,10900,jeep,mpv,2019,clean vehicle,14195,orange,michigan,usa
306,6330,jeep,mpv,2019,clean vehicle,43965,red,florida,usa
307,25,chevrolet,pickup,2010,salvage insurance,149189,white,colorado,usa
308,2320,dodge,door,2007,clean vehicle,112182,red,florida,usa
309,23702,ford,door,2017,clean vehicle,49024,black,michigan,usa
310,5520,gmc,mpv,2017,clean vehicle,35821,silver,virginia,usa
311,4050,heartland,pioneer,2018,clean vehicle,1,gray,pennsylvania,usa
312,14810,infiniti,mpv,2019,clean vehicle,32611,brown,florida,usa
313,25,chevrolet,door,2011,salvage insurance,105244,white,colorado,usa
314,2960,chrysler,van,2008,clean vehicle,164048,red,florida,usa
315,24800,ford,door,2017,clean vehicle,46955,gray,michigan,usa
316,6270,gmc,mpv,2017,clean vehicle,70443,black,virginia,usa
317,1880,heartland,trail,2012,clean vehicle,1,white,pennsylvania,usa
318,10050,infiniti,mpv,2019,clean vehicle,18229,gray,florida,usa
319,225,chevrolet,door,2014,salvage insurance,87673,red,colorado,usa
320,26900,chevrolet,traverse,2018,clean vehicle,42941,black,missouri,usa
321,1420,chrysler,door,2007,clean vehicle,104405,gold,florida,usa
322,27003,ford,door,2017,clean vehicle,57186,black,michigan,usa
323,350,ford,door,2004,salvage insurance,236980,gray,illinois,usa
324,5600,gmc,mpv,2017,clean vehicle,59808,black,virginia,usa
325,6680,heartland,country,2011,clean vehicle,1,gray,pennsylvania,usa
326,10120,infiniti,mpv,2019,clean vehicle,20681,white,florida,usa
327,3920,ford,door,2015,clean vehicle,102700,white,georgia,usa
328,23100,ford,door,2017,clean vehicle,53270,black,michigan,usa
329,5630,gmc,mpv,2017,clean vehicle,27195,black,virginia,usa
330,2800,jaguar,doors,2019,clean vehicle,20849,black,florida,usa
331,8850,ford,door,2015,clean vehicle,143818,black,georgia,usa
332,18712,ford,f-150,2017,clean vehicle,67347,black,michigan,usa
333,6300,gmc,mpv,2017,clean vehicle,117400,blue,virginia,usa
334,2220,heartland,country,2010,clean vehicle,1,white,pennsylvania,usa
335,6930,jeep,mpv,2019,clean vehicle,47798,red,florida,usa
336,25,chevrolet,door,2008,salvage insurance,130623,white,california,usa
337,3440,ford,door,2015,clean vehicle,124542,white,georgia,usa
338,50412,ford,door,2017,clean vehicle,47129,black,michigan,usa
339,25,ford,pickup,1994,salvage insurance,206162,white,georgia,usa
340,950,ford,pk,2001,salvage insurance,229886,red,illinois,usa
341,9270,gmc,mpv,2017,clean vehicle,19490,gray,virginia,usa
342,11380,jeep,mpv,2019,clean vehicle,12038,black,michigan,usa
343,5350,hyundai,mpv,2019,clean vehicle,43536,blue,florida,usa
344,2725,chevrolet,door,2004,salvage insurance,308451,black,south carolina,usa
345,3790,ford,door,2015,clean vehicle,100893,gray,georgia,usa
346,40514,ford,door,2017,clean vehicle,90304,white,michigan,usa
347,9190,gmc,mpv,2017,clean vehicle,31394,gray,virginia,usa
348,10330,infiniti,mpv,2019,clean vehicle,25933,gray,florida,usa
349,1000,acura,door,2008,salvage insurance,118250,gray,michigan,usa
350,2925,bmw,door,2013,salvage insurance,46060,white,florida,usa
351,3830,ford,door,2015,clean vehicle,50593,gold,georgia,usa
352,43402,ford,door,2017,clean vehicle,62387,blue,michigan,usa
353,1025,gmc,door,2009,salvage insurance,169634,black,michigan,usa
354,17200,honda,van,2016,clean vehicle,72527,gray,new jersey,usa
355,6940,honda,door,2010,clean vehicle,217290,no_color,pennsylvania,usa
356,13080,infiniti,mpv,2019,clean vehicle,17243,gray,florida,usa
