id,price,brand,year,title_status,mileage,color,state,region,country
1413,49000,ford,2019,clean vehicle,19985,white,pennsylvania,Northeast,usa
1414,4000,ford,2015,clean vehicle,102590,gray,louisiana,South,usa
1415,39000,ford,2019,clean vehicle,27612,silver,pennsylvania,Northeast,usa
1416,29000,ford,2015,clean vehicle,90855,white,louisiana,South,usa
1417,46500,ford,2019,clean vehicle,19936,silver,pennsylvania,Northeast,usa
1418,7805,ford,2015,clean vehicle,64495,gray,louisiana,South,usa
1419,22000,ford,2018,clean vehicle,39477,gray,texas,South,usa
1420,18800,ford,2019,clean vehicle,25698,black,pennsylvania,Northeast,usa
1421,33000,ford,2015,clean vehicle,73849,blue,louisiana,South,usa
1422,39500,ford,2019,clean vehicle,25422,black,pennsylvania,Northeast,usa
1423,16900,ford,2015,clean vehicle,47866,black,louisiana,South,usa
1424,42500,ford,2019,clean vehicle,31236,white,pennsylvania,Northeast,usa
1425,39500,ford,2019,clean vehicle,26755,gray,pennsylvania,Northeast,usa
1426,25500,ford,2018,clean vehicle,49177,blue,illinois,Midwest,usa
1427,49500,ford,2019,clean vehicle,20749,white,pennsylvania,Northeast,usa
1428,25000,ford,2018,clean vehicle,15003,white,illinois,Midwest,usa
1429,40000,ford,2019,clean vehicle,12247,black,pennsylvania,Northeast,usa
1430,26000,ford,2018,clean vehicle,1,black,illinois,Midwest,usa
1431,29500,ford,2019,clean vehicle,10808,silver,pennsylvania,Northeast,usa
1432,23000,ford,2019,clean vehicle,11263,white,oklahoma,South,usa
1433,25500,ford,2018,clean vehicle,42307,black,illinois,Midwest,usa
1434,44500,ford,2019,clean vehicle,17484,gray,pennsylvania,Northeast,usa
1435,15600,ford,2019,clean vehicle,37106,blue,missouri,Midwest,usa
1436,23100,ford,2019,clean vehicle,9539,white,oklahoma,South,usa
1437,37000,ford,2019,clean vehicle,2384,gray,pennsylvania,Northeast,usa
1438,14500,ford,2019,clean vehicle,20590,gray,missouri,Midwest,usa
1439,23000,ford,2019,clean vehicle,13896,white,oklahoma,South,usa
1440,26500,ford,2019,clean vehicle,9451,gray,pennsylvania,Northeast,usa
1441,18000,ford,2017,clean vehicle,31657,red,missouri,Midwest,usa
1442,35700,ford,2019,clean vehicle,33907,brown,oklahoma,South,usa
1443,31000,ford,2019,clean vehicle,10028,black,pennsylvania,Northeast,usa
1444,2000,ford,2013,clean vehicle,175640,no_color,missouri,Midwest,usa
1445,40400,ford,2019,clean vehicle,30770,white,oklahoma,South,usa
1446,43600,ford,2019,clean vehicle,15141,black,pennsylvania,Northeast,usa
1447,22600,ford,2019,clean vehicle,18431,white,oklahoma,South,usa
1448,26000,ford,2019,clean vehicle,9604,white,pennsylvania,Northeast,usa
1449,23200,ford,2019,clean vehicle,9516,white,oklahoma,South,usa
1450,29000,ford,2019,clean vehicle,9718,silver,pennsylvania,Northeast,usa
1451,22800,ford,2019,clean vehicle,16506,white,oklahoma,South,usa
1452,3450,ford,2015,salvage insurance,192108,white,oregon,West,usa
1453,31000,ford,2019,clean vehicle,11028,white,pennsylvania,Northeast,usa
1454,22900,ford,2019,clean vehicle,11313,white,oklahoma,South,usa
1455,3000,ford,2014,salvage insurance,141595,red,oregon,West,usa
1456,28000,ford,2019,clean vehicle,12886,silver,pennsylvania,Northeast,usa
1457,23200,ford,2019,clean vehicle,9556,white,oklahoma,South,usa
1458,27000,ford,2019,clean vehicle,13269,blue,pennsylvania,Northeast,usa
1459,22800,ford,2019,clean vehicle,16770,white,oklahoma,South,usa
1460,31500,ford,2019,clean vehicle,13526,red,pennsylvania,Northeast,usa
1461,23400,ford,2019,clean vehicle,16391,white,oklahoma,South,usa
1462,28000,ford,2019,clean vehicle,11437,white,pennsylvania,Northeast,usa
1463,23400,ford,2019,clean vehicle,17964,white,oklahoma,South,usa
1464,28000,ford,2018,clean vehicle,5440,blue,texas,South,usa
1465,24900,ford,2019,clean vehicle,13035,white,pennsylvania,Northeast,usa
1466,23500,ford,2019,clean vehicle,15759,white,oklahoma,South,usa
1467,36000,ford,2018,clean vehicle,30002,gray,texas,South,usa
1468,28700,ford,2019,clean vehicle,13673,white,pennsylvania,Northeast,usa
1469,16000,ford,2018,clean vehicle,24480,silver,oregon,West,usa
1470,31000,ford,2019,clean vehicle,13230,white,pennsylvania,Northeast,usa
1471,16500,ford,2017,clean vehicle,137789,white,oregon,West,usa
1472,28500,ford,2019,clean vehicle,13516,white,pennsylvania,Northeast,usa
1473,10800,ford,2017,clean vehicle,81660,black,oregon,West,usa
1474,28500,ford,2019,clean vehicle,11763,white,pennsylvania,Northeast,usa
1475,25000,ford,2017,clean vehicle,34165,gold,oregon,West,usa
1476,31000,ford,2019,clean vehicle,13458,white,pennsylvania,Northeast,usa
1477,7800,ford,2016,clean vehicle,104867,black,oregon,West,usa
1478,28500,ford,2019,clean vehicle,14004,white,pennsylvania,Northeast,usa
1479,9500,ford,2016,clean vehicle,69829,silver,oregon,West,usa
1480,28500,ford,2019,clean vehicle,13405,silver,pennsylvania,Northeast,usa
1481,14500,ford,2016,clean vehicle,96151,black,oregon,West,usa
1482,25000,ford,2019,clean vehicle,12688,black,pennsylvania,Northeast,usa
1483,14500,ford,2016,clean vehicle,116519,white,oregon,West,usa
1484,28500,ford,2019,clean vehicle,12260,white,pennsylvania,Northeast,usa
1485,12100,ford,2016,clean vehicle,29367,silver,oregon,West,usa
1486,29400,ford,2019,clean vehicle,18982,white,pennsylvania,Northeast,usa
1487,24700,ford,2019,clean vehicle,23795,silver,california,West,usa
1488,8700,ford,2016,clean vehicle,76572,gray,oregon,West,usa
1489,29500,ford,2019,clean vehicle,15964,white,pennsylvania,Northeast,usa
1490,25800,ford,2019,clean vehicle,28117,silver,california,West,usa
1491,17500,ford,2016,clean vehicle,116730,blue,oregon,West,usa
1492,23900,ford,2019,clean vehicle,21055,brown,pennsylvania,Northeast,usa
1493,22900,ford,2019,clean vehicle,27794,black,california,West,usa
1494,19500,ford,2016,clean vehicle,56995,black,oregon,West,usa
1495,29500,ford,2019,clean vehicle,16625,gray,pennsylvania,Northeast,usa
1496,24500,ford,2019,clean vehicle,27689,gray,california,West,usa
1497,11000,ford,2016,clean vehicle,39851,black,oregon,West,usa
1498,22400,ford,2019,clean vehicle,31727,black,pennsylvania,Northeast,usa
1499,15700,ford,2019,clean vehicle,31586,gray,california,West,usa
1500,11000,ford,2015,clean vehicle,33717,black,oregon,West,usa
1501,28000,ford,2019,clean vehicle,18418,black,pennsylvania,Northeast,usa
1502,13500,ford,2019,clean vehicle,39013,black,california,West,usa
1503,7300,ford,2013,clean vehicle,125451,white,oregon,West,usa
1504,25100,ford,2019,clean vehicle,21346,black,pennsylvania,Northeast,usa
1505,24100,ford,2019,clean vehicle,21150,white,california,West,usa
1506,6500,ford,2014,clean vehicle,103862,white,oregon,West,usa
1507,10500,ford,2019,clean vehicle,22001,red,pennsylvania,Northeast,usa
1508,16900,ford,2019,clean vehicle,31261,gray,california,West,usa
1509,6000,ford,2013,clean vehicle,140870,white,oregon,West,usa
1510,28500,ford,2019,clean vehicle,14358,white,pennsylvania,Northeast,usa
1511,16200,ford,2019,clean vehicle,41672,silver,california,West,usa
1512,6500,ford,2013,clean vehicle,95655,white,oregon,West,usa
1513,24500,ford,2019,clean vehicle,19493,gray,pennsylvania,Northeast,usa
1514,16500,ford,2019,clean vehicle,36956,black,california,West,usa
1515,56500,ford,2017,clean vehicle,23223,gold,texas,South,usa
1516,10400,ford,2019,clean vehicle,13085,gray,pennsylvania,Northeast,usa
1517,22800,ford,2018,clean vehicle,36124,silver,oklahoma,South,usa
1518,26500,ford,2019,clean vehicle,19147,white,pennsylvania,Northeast,usa
1519,23800,ford,2019,clean vehicle,24993,red,pennsylvania,Northeast,usa
1520,24700,ford,2018,clean vehicle,41127,white,oklahoma,South,usa
1521,12400,ford,2019,clean vehicle,32365,black,pennsylvania,Northeast,usa
1522,16600,ford,2019,clean vehicle,27774,white,pennsylvania,Northeast,usa
1523,11200,ford,2015,clean vehicle,105027,blue,oklahoma,South,usa
1524,15900,ford,2019,clean vehicle,27806,silver,pennsylvania,Northeast,usa
1525,7700,ford,2015,clean vehicle,54198,blue,oklahoma,South,usa
1526,15100,ford,2019,clean vehicle,30181,white,pennsylvania,Northeast,usa
1527,7200,ford,2013,clean vehicle,82670,black,oklahoma,South,usa
1528,15600,ford,2019,clean vehicle,36305,gold,pennsylvania,Northeast,usa
1529,39700,ford,2019,clean vehicle,10475,white,oklahoma,South,usa
1530,16000,ford,2019,clean vehicle,34734,gray,pennsylvania,Northeast,usa
1531,7500,ford,2012,clean vehicle,186713,black,oklahoma,South,usa
1532,15500,ford,2017,clean vehicle,132150,white,oregon,West,usa
1533,19000,ford,2019,clean vehicle,12928,gray,pennsylvania,Northeast,usa
